iter	Passed	Remaining
238	5682	18093
239	5708	18075
240	5734	18061
241	5757	18033
242	5783	18017
243	5794	17953
244	5819	17934
245	5845	17915
246	5866	17883
247	5887	17852
248	5920	17855
249	5943	17831
250	5971	17820
251	6000	17811
252	6026	17793
253	6052	17775
254	6074	17747
255	6098	17723
256	6121	17697
257	6145	17674
258	6149	17593
259	6177	17583
260	6200	17556
261	6233	17557
262	6260	17543
263	6286	17525
264	6327	17549
265	6355	17538
266	6390	17544
267	6415	17522
268	6438	17495
269	6462	17473
270	6485	17447
271	6517	17444
272	6528	17386
273	6561	17385
274	6591	17376
275	6617	17360
276	6649	17356
277	6677	17342
278	6708	17335
279	6732	17312
280	6758	17291
281	6784	17274
282	6811	17256
283	6836	17236
284	6861	17213
285	6887	17195
286	6913	17174
287	6946	17172
288	6971	17150
289	6998	17134
290	7038	17147
291	7066	17133
292	7091	17110
293	7125	17111
294	7148	17083
295	7173	17062
296	7214	17076
297	7246	17071
298	7276	17060
299	7307	17051
300	7339	17043
301	7375	17045
302	7402	17027
303	7431	17013
304	7458	16996
305	7486	16979
306	7510	16953
307	7533	16925
308	7558	16901
309	7580	16873
310	7605	16849
311	7630	16825
312	7654	16800
313	7675	16767
314	7702	16749
315	7731	16734
316	7756	16711
317	7779	16685
318	7804	16661
319	7833	16646
320	7856	16618
321	7878	16589
322	7901	16561
323	7925	16535
324	7950	16511
325	7972	16483
326	7996	16457
327	8020	16432
328	8051	16421
329	8079	16404
330	8102	16376
331	8127	16352
332	8160	16344
333	8188	16327
334	8202	16281
335	8224	16252
336	8240	16211
337	8263	16185
338	8287	16159
339	8312	16136
340	8336	16111
341	8358	16081
342	8367	16026
343	8389	15999
344	8414	15974
345	8437	15947
346	8460	15920
347	8481	15890
348	8505	15865
349	8529	15841
350	8555	15819
351	8580	15795
352	8605	15772
353	8629	15746
354	8655	15726
355	8679	15700
356	8703	15676
357	8727	15651
358	8763	15646
359	8778	15606
360	8810	15594
361	8845	15589
362	8868	15562
363	8895	15541
364	8922	15522
365	8948	15500
366	8974	15478
367	9000	15456
368	9007	15403
369	9030	15376
370	9053	15349
371	9081	15331
372	9108	15310
373	9137	15294
374	9161	15269
375	9188	15248
376	9215	15228
377	9242	15208
378	9269	15188
379	9294	15164
380	9301	15112
381	9323	15082
382	9348	15059
383	9373	15036
384	9394	15006
385	9416	14979
386	9432	14940
387	9454	14913
388	9477	14886
389	9503	14864
390	9517	14823
391	9540	14797
392	9564	14772
393	9606	14775
394	9630	14749
395	9659	14733
396	9683	14708
397	9709	14685
398	9732	14659
399	9758	14637
400	9784	14615
401	9811	14595
402	9837	14572
403	9861	14548
